# IDs | instructor-note section (searchable heading) | lecture slide, - if no matching text locator
q57|General Women's Health Promotion & Maintenance: Pelvic exam; Informed consent|-
q58|Secondary dysmenorrhea; Endometriosis|3
q59,e292,e294,e295|Infertility: Medical therapy; Nursing Actions; Hysterosalpingography|29,32
q60,e274|IUD; Protection from STIs|contraception:6
e276|Sterilization: Vasectomy|contraception:7
e277|Contraception: Breastfeeding; Considerations when choosing a method|contraception:2
e278|Barrier methods|contraception:3
e280|Syphilis|-
e281|Trichomoniasis|25
e284|Herpes simplex virus (HSV)|20
e285|Human papillomavirus (HPV)|19
e286|Toxic shock syndrome|-
e287|Abnormal uterine bleeding (AUB)|5
e288|Amenorrhea|2
e290|Menopause hormone therapy|-
e291|Disorders of the reproductive tract: Ovarian cysts|-
e296|General Women's Health Promotion & Maintenance: Breast cancer; Breast Disorders|11
e299|Dysmenorrhea: medication comfort measures; GI notes: Peptic Ulcer Disease|-
q61,e317|General Approaches Toward Examining a Child; medication calculation supplemental practice|-
q62,e303|Developmental milestones; Growth measurements; Failure to Thrive|-
q63|Infants: Play; Play Types table|-
q64,e319|Infants: Separation anxiety, stranger fear; Preparation of the child|-
q65|Toddlers: Skills of independence; Piaget teaching table|-
q66,e310|Preschoolers: Development of body image; Play therapy|-
q67,e311|School-Age Child: Psychosocial development; Piaget teaching table|-
q68,e314|General Safety promotion and injury prevention; Developmental milestones table|-
q69,e309|Immunizations: contraindications and precautions|-
q70|School-Age Child: Injury prevention; General Safety promotion and injury prevention|-
e300|Vital Signs: sequence and full-minute assessment|-
e301,v308|Pain Assessment & Management in Children; Preparation of the child|-
e302|Erikson's Stages of Psychosocial Development: Trust vs Mistrust|-
e304|Infants: Sleep and activity|-
e305|Toddlers: Toilet training|-
e306|Toddlers: Parallel play; Play Types table|-
e307|Toddlers: Temper tantrums and negativism|-
e308|Toddlers: Nutrition; Choking prevention|-
e312,e313,v309|Adolescents: Promoting health during adolescence; Health concerns of adolescents|-
e315|Drowning Prevention|-
e316|Poisoning prevention and treatment|-
e318|Infants: Nutrition; Failure to Thrive; Interprofessional care|-
q71,e320|Impetigo; Signs of Wound Infection|5
q72,e321|Pediculosis (Lice)|7
q73,e322,v310|Scabies and Pediculosis|6
q74|Atopic dermatitis (AD) (Eczema)|2
q75|Skin Lesions: systemic disease (course context); lecture Psoriasis|3
e323|Skin Infections: Fungal and Dermatophytosis|11
e324|Diaper dermatitis|2
e325|Acne vulgaris: Isotretinoin|4
e326,e327|Burns: Nursing care in an emergency|12
e328|Burns: full thickness and nerve damage|12
e329|Burns: Nurse care in the acute phase|12
v301|Contact Dermatitis; Poison Ivy, Oak and Sumac|2
q76|Hypertrophic pyloric stenosis|10
q77|Appendicitis: Peritonitis|7
q78|Intussusception|11
q79|Hirschsprung's disease: Potential for enterocolitis|12
q80,v302|Injurious Agents/Poisons: Acetaminophen|20
e330|Gastroesophageal reflux disease (GERD)|2
e331|Constipation and encopresis|4
e332|Celiac disease|14
e333,v311|Acute infectious diarrhea; Infectious gastroenteritis|18
e334|Meckel Diverticulum|8
e335|Inflammatory bowel disease|9
e336|Care of the child with the gastrostomy tube|-
e337|Corrosives; Clinical Judgement: Take action|-
e338|Lead poisoning|19
e339|Acetylsalicylic acid (aspirin)|21
